Date,Data
1,-5.00E+00
2,-1.00E+01
3,-1.30E+01
4,-1.50E+01
5,-1.70E+01
6,-1.60E+01
7,-1.50E+01
8,-1.40E+01
9,-1.30E+01
10,-1.50E+01
11,-1.70E+01
12,-1.60E+01
13,-1.50E+01
14,-1.50E+01
15,-1.50E+01
16,-1.50E+01
17,-1.50E+01
18,-1.30E+01
19,-1.10E+01
20,-9.00E+00
21,-7.00E+00
22,-8.00E+00
23,-9.00E+00
24,-8.00E+00
25,-7.00E+00
26,-6.00E+00
27,-6.00E+00
28,-8.00E+00
29,-9.00E+00
30,-8.00E+00
31,-8.00E+00
32,-1.00E+01
33,-1.10E+01
34,-1.00E+01
35,-9.00E+00
36,-9.00E+00
37,-9.00E+00
38,-9.00E+00
39,-1.00E+01
40,-1.20E+01
41,-1.30E+01
42,-1.30E+01
43,-1.20E+01
44,-1.10E+01
45,-1.00E+01
46,-9.00E+00
47,-9.00E+00
48,-9.00E+00
49,-1.20E+01
50,-1.50E+01
51,-1.40E+01
52,-1.30E+01
53,-1.20E+01
54,-1.10E+01
55,-9.00E+00
56,-7.00E+00
57,-7.00E+00
58,-7.00E+00
59,-7.00E+00
60,-7.00E+00
61,-8.00E+00
62,-9.00E+00
63,-7.00E+00
64,-5.00E+00
65,-5.00E+00
66,-4.00E+00
67,-1.00E+00
68,1.00E+00
69,1.00E+00
70,2.00E+00
71,6.00E+00
72,5.00E+00
73,2.00E+00
74,0.00E+00
75,-2.00E+00
76,-4.00E+00
77,-6.00E+00
78,-9.00E+00
79,-1.20E+01
80,-1.30E+01
81,-1.30E+01
82,-1.40E+01
83,-1.60E+01
84,-1.70E+01
85,-1.70E+01
86,-1.90E+01
87,-2.10E+01
88,-2.10E+01
89,-2.10E+01
90,-1.80E+01
91,-1.50E+01
92,-1.50E+01
93,-1.50E+01
94,-1.70E+01
95,-1.90E+01
96,-1.80E+01
97,-1.70E+01
98,-1.90E+01
99,-1.40E+01
100,9.00E+00
101,4.70E+01
102,1.08E+02
103,1.39E+02
104,1.29E+02
105,9.20E+01
106,2.60E+01
107,-3.80E+01
108,-1.02E+02
109,-1.18E+02
110,-9.90E+01
111,-7.70E+01
112,-5.50E+01
113,-4.00E+01
114,-2.90E+01
115,-2.50E+01
116,-2.40E+01
117,-2.20E+01
118,-2.00E+01
119,-1.90E+01
120,-2.00E+01
121,-1.80E+01
122,-1.40E+01
123,-1.30E+01
124,-1.30E+01
125,-1.30E+01
126,-1.30E+01
127,-1.40E+01
128,-1.30E+01
129,-1.30E+01
130,-1.30E+01
131,-1.20E+01
132,-1.10E+01
133,-9.00E+00
134,-7.00E+00
135,-7.00E+00
136,-7.00E+00
137,-6.00E+00
138,-5.00E+00
139,-5.00E+00
140,-5.00E+00
141,-3.00E+00
142,0.00E+00
143,4.00E+00
144,7.00E+00
145,5.00E+00
146,3.00E+00
147,4.00E+00
148,6.00E+00
149,9.00E+00
150,1.20E+01
151,1.50E+01
152,1.70E+01
153,1.70E+01
154,1.90E+01
155,2.30E+01
156,2.70E+01
157,3.00E+01
158,3.40E+01
159,3.80E+01
160,4.10E+01
161,4.40E+01
162,4.50E+01
163,4.60E+01
164,4.70E+01
165,4.70E+01
166,4.60E+01
167,4.40E+01
168,4.00E+01
169,3.70E+01
170,3.50E+01
171,3.30E+01
172,2.90E+01
173,2.50E+01
174,2.00E+01
175,1.40E+01
176,8.00E+00
177,3.00E+00
178,1.00E+00
179,-1.00E+00
180,-2.00E+00
181,-3.00E+00
182,-5.00E+00
183,-7.00E+00
184,-9.00E+00
185,-1.10E+01
186,-1.20E+01
187,-1.30E+01
188,-1.30E+01
189,-1.30E+01
190,-1.40E+01
191,-1.50E+01
192,-1.50E+01
193,-1.50E+01
194,-1.50E+01
195,-1.50E+01
196,-1.40E+01
197,-1.30E+01
198,-1.20E+01
199,-1.10E+01
200,-1.10E+01
201,-1.10E+01
202,-1.00E+01
203,-8.00E+00
204,-6.00E+00
205,-5.00E+00
206,-5.00E+00
207,-5.00E+00
208,-5.00E+00
209,-5.00E+00
210,-5.00E+00
211,-6.00E+00
212,-7.00E+00
213,-7.00E+00
214,-7.00E+00
215,-8.00E+00
216,-9.00E+00
217,-8.00E+00
218,-7.00E+00
219,-9.00E+00
220,-1.10E+01
221,-1.00E+01
222,-9.00E+00
223,-6.00E+00
224,-3.00E+00
225,-3.00E+00
226,-3.00E+00
227,-2.00E+00
228,-1.00E+00
229,-3.00E+00
230,-4.00E+00
231,1.00E+00
232,3.00E+00
233,3.00E+00
234,2.00E+00
235,0.00E+00
236,-2.00E+00
237,-4.00E+00
238,-5.00E+00
239,-6.00E+00
240,-7.00E+00
241,-8.00E+00
242,-1.10E+01
243,-1.40E+01
244,-1.60E+01
245,-1.80E+01
246,-2.00E+01
247,-2.20E+01
248,-2.30E+01
249,-2.40E+01
250,-2.50E+01
251,-2.50E+01
252,-2.30E+01
253,-2.30E+01
254,-2.40E+01
255,-2.50E+01
256,-2.50E+01
257,-2.50E+01
258,-2.50E+01
259,-2.50E+01
260,-2.70E+01
261,-2.90E+01
262,-3.20E+01
263,-3.10E+01
264,-1.60E+01
265,1.60E+01
266,8.10E+01
267,1.33E+02
268,1.63E+02
269,1.54E+02
270,8.80E+01
271,2.30E+01
272,-4.30E+01
273,-8.30E+01
274,-1.01E+02
275,-9.70E+01
276,-7.40E+01
277,-5.80E+01
278,-4.60E+01
279,-3.90E+01
280,-3.60E+01
281,-3.50E+01
282,-3.40E+01
283,-3.30E+01
284,-3.20E+01
285,-3.10E+01
286,-3.20E+01
287,-3.30E+01
288,-3.20E+01
289,-3.10E+01
290,-3.00E+01
291,-2.90E+01
292,-2.90E+01
293,-2.80E+01
294,-2.70E+01
295,-2.80E+01
296,-2.90E+01
297,-2.80E+01
298,-2.70E+01
299,-2.60E+01
300,-2.50E+01
301,-2.40E+01
302,-2.30E+01
303,-2.40E+01
304,-2.50E+01
305,-2.20E+01
306,-1.90E+01
307,-1.80E+01
308,-1.70E+01
309,-1.70E+01
310,-1.70E+01
311,-1.50E+01
312,-1.30E+01
313,-1.10E+01
314,-9.00E+00
315,-8.00E+00
316,-6.00E+00
317,-3.00E+00
318,0.00E+00
319,3.00E+00
320,6.00E+00
321,1.00E+01
322,1.30E+01
323,1.60E+01
324,1.90E+01
325,2.20E+01
326,2.30E+01
327,2.30E+01
328,2.30E+01
329,2.40E+01
330,2.50E+01
331,2.40E+01
332,2.10E+01
333,1.80E+01
334,1.30E+01
335,7.00E+00
336,2.00E+00
337,-3.00E+00
338,-8.00E+00
339,-1.30E+01
340,-1.80E+01
341,-2.30E+01
342,-2.40E+01
343,-2.50E+01
344,-2.70E+01
345,-2.90E+01
346,-3.00E+01
347,-3.10E+01
348,-3.40E+01
349,-3.70E+01
350,-3.80E+01
351,-3.90E+01
352,-3.90E+01
353,-3.90E+01
354,-3.90E+01
355,-3.90E+01
356,-3.80E+01
357,-3.70E+01
358,-3.70E+01
359,-3.70E+01
360,-3.60E+01
361,-3.50E+01
362,-3.50E+01
363,-3.40E+01
364,-3.20E+01
365,-3.10E+01
366,-3.10E+01
367,-3.10E+01
368,-3.00E+01
369,-2.90E+01
370,-2.80E+01
371,-2.70E+01
372,-2.80E+01
373,-2.90E+01
374,-2.80E+01
375,-2.70E+01
376,-2.70E+01
377,-2.90E+01
378,-3.10E+01
379,-3.00E+01
380,-2.90E+01
381,-3.00E+01
382,-3.10E+01
383,-3.20E+01
384,-3.30E+01
385,-3.20E+01
386,-3.10E+01
387,-3.30E+01
388,-3.50E+01
389,-3.50E+01
390,-3.50E+01
391,-3.60E+01
392,-3.60E+01
393,-3.30E+01
394,-3.10E+01
395,-3.00E+01
396,-2.90E+01
397,-2.80E+01
398,-2.70E+01
399,-2.60E+01
400,-2.60E+01
401,-2.90E+01
402,-3.10E+01
403,-3.10E+01
404,-3.00E+01
405,-2.80E+01
406,-2.70E+01
407,-2.80E+01
408,-2.90E+01
409,-3.00E+01
410,-3.10E+01
411,-3.10E+01
412,-3.10E+01
413,-3.10E+01
414,-3.20E+01
415,-3.40E+01
416,-3.60E+01
417,-3.80E+01
418,-4.00E+01
419,-4.10E+01
420,-4.20E+01
421,-4.30E+01
422,-4.30E+01
423,-4.30E+01
424,-4.50E+01
425,-4.70E+01
426,-4.60E+01
427,-4.50E+01
428,-4.50E+01
429,-4.50E+01
430,-4.40E+01
431,-4.30E+01
432,-4.40E+01
433,-4.60E+01
434,-5.00E+01
435,-4.10E+01
436,-1.00E+01
437,3.60E+01
438,1.01E+02
439,1.35E+02
440,1.39E+02
441,1.06E+02
442,4.00E+01
443,-2.50E+01
444,-9.10E+01
445,-1.15E+02
446,-1.15E+02
447,-1.01E+02
448,-8.10E+01
449,-6.80E+01
450,-5.80E+01
451,-5.40E+01
452,-5.20E+01
453,-5.00E+01
454,-4.80E+01
455,-4.30E+01
456,-3.80E+01
457,-3.80E+01
458,-4.00E+01
459,-4.20E+01
460,-4.50E+01
461,-4.40E+01
462,-4.30E+01
463,-4.20E+01
464,-4.10E+01
465,-4.20E+01
466,-4.30E+01
467,-3.90E+01
468,-3.50E+01
469,-3.70E+01
470,-3.90E+01
471,-3.90E+01
472,-3.90E+01
473,-3.70E+01
474,-3.50E+01
475,-3.30E+01
476,-3.20E+01
477,-3.50E+01
478,-3.70E+01
479,-3.50E+01
480,-3.20E+01
481,-2.90E+01
482,-2.60E+01
483,-2.30E+01
484,-2.20E+01
485,-2.40E+01
486,-2.50E+01
487,-2.40E+01
488,-2.10E+01
489,-1.70E+01
490,-1.30E+01
491,-8.00E+00
492,-6.00E+00
493,-4.00E+00
494,-2.00E+00
495,0.00E+00
496,3.00E+00
497,6.00E+00
498,1.00E+01
499,1.40E+01
500,1.50E+01
501,1.50E+01
502,1.50E+01
503,1.30E+01
504,1.30E+01
505,1.30E+01
506,1.00E+01
507,7.00E+00
508,5.00E+00
509,2.00E+00
510,-7.00E+00
511,-1.50E+01
512,-1.80E+01
513,-2.10E+01
514,-2.40E+01
515,-2.70E+01
516,-2.80E+01
517,-3.00E+01
518,-3.30E+01
519,-3.50E+01
520,-3.70E+01
521,-3.90E+01
522,-3.90E+01
523,-3.90E+01
524,-3.90E+01
525,-3.90E+01
526,-3.90E+01
527,-3.90E+01
528,-4.00E+01
529,-4.10E+01
530,-4.10E+01
531,-4.00E+01
532,-3.80E+01
533,-3.60E+01
534,-3.40E+01
535,-3.40E+01
536,-3.60E+01
537,-3.50E+01
538,-3.20E+01
539,-3.00E+01
540,-2.80E+01
541,-2.80E+01
542,-3.00E+01
543,-3.00E+01
544,-2.90E+01
545,-3.00E+01
546,-3.10E+01
547,-2.90E+01
548,-2.70E+01
549,-3.00E+01
550,-3.30E+01
551,-3.00E+01
552,-2.70E+01
553,-2.90E+01
554,-3.10E+01
555,-3.10E+01
556,-3.10E+01
557,-3.10E+01
558,-3.10E+01
559,-3.10E+01
560,-3.10E+01
561,-2.90E+01
562,-2.70E+01
563,-2.80E+01
564,-2.80E+01
565,-2.50E+01
566,-2.40E+01
567,-2.70E+01
568,-3.00E+01
569,-3.20E+01
570,-3.20E+01
571,-3.00E+01
572,-2.90E+01
573,-3.00E+01
574,-2.90E+01
575,-2.60E+01
576,-2.80E+01
577,-3.20E+01
578,-3.10E+01
579,-2.80E+01
580,-2.60E+01
581,-2.40E+01
582,-2.30E+01
583,-2.30E+01
584,-2.30E+01
585,-2.10E+01
586,-2.10E+01
587,-2.10E+01
588,-1.80E+01
589,-1.50E+01
590,-1.40E+01
591,-1.30E+01
592,-1.30E+01
593,-1.30E+01
594,-1.50E+01
595,-1.70E+01
596,-1.80E+01
597,-1.90E+01
598,-2.00E+01
599,-2.20E+01
600,-2.50E+01
601,-2.70E+01
602,-2.90E+01
603,-3.10E+01
604,-3.10E+01
605,-3.10E+01
606,-3.20E+01
607,-3.30E+01
608,-3.30E+01
609,-3.30E+01
610,-3.40E+01
611,-3.40E+01
612,-3.20E+01
613,-3.10E+01
614,-3.10E+01
615,-3.10E+01
616,-3.20E+01
617,-3.60E+01
618,-4.00E+01
619,-3.60E+01
620,-2.90E+01
621,1.90E+01
622,7.30E+01
623,1.22E+02
624,1.70E+02
625,1.18E+02
626,1.73E+02
627,-6.00E+00
628,-7.10E+01
629,-1.15E+02
630,-1.53E+02
631,-1.25E+02
632,-9.80E+01
633,-7.70E+01
634,-5.80E+01
635,-4.90E+01
636,-4.10E+01
